Descrição,Preço Antigo,Preço Promocional,Origem,Mercado
Cerveja Brahma Zero Álcool Lata 350ml,"De R$ 5,49 por","R$ 4,49 un",Web Scraping,Rena
Toalha de Papel Snob Decora 2 Rolos 60 Unid Cada,"De R$ 6,99 por","R$ 5,98 un",Web Scraping,Rena
Vinho Argentino Tinto Seco Latitud 33º Malbec Mendoza Garrafa 750ml,"De R$ 69,90 por","R$ 54,99 un",Web Scraping,Rena
Vinho Argentino Tinto Seco Latitud 33º Cabernet Sauvignon Mendoza Garrafa 750ml,"De R$ 69,90 por","R$ 54,99 un",Web Scraping,Rena
Vinho Argentino Branco Seco Latitud 33º Chardonnay Mendoza Garrafa 750ml,Preço não disponível,"R$ 54,99 un",Web Scraping,Rena
Bombom Ferrero Rocher 100g,"De R$ 26,99 por","R$ 21,90 un",Web Scraping,Rena
Antitranspirante Aerossol Nivea Invisible For Black & White Clear 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Antitranspirante Aerossol Active Dry Nivea Men Impact 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Tempero Pó Para Massas Manjericão Orégano E Cúrcuma Mais Sabor Kitano Pacote 60g 12 Unidades,"De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Pessego Nacional Kg,"De R$ 11,99 por","R$ 9,98 kg",Web Scraping,Rena
"Saco Para Lixo Bye, Bye 15l Com 20 Unidades","De R$ 5,49 por","R$ 3,99 un",Web Scraping,Rena
Vinho Chileno Tinto Seco Reserva Casillero Del Diablo Cabernet Sauvignon Valle Central Garrafa 750ml,"De R$ 59,85 por","R$ 49,99 un",Web Scraping,Rena
Vinho Chileno Branco Seco Reserva Casillero Del Diablo Sauvignon Blanc Garrafa 750ml,"De R$ 64,99 por","R$ 49,99 un",Web Scraping,Rena
Farinha Mandioca Acigal 1kg,"De R$ 6,48 por","R$ 5,49 un",Web Scraping,Rena
Ameixa Nacional Kg,"De R$ 19,99 por","R$ 13,98 kg",Web Scraping,Rena
Cha de Dentro Bovina,Preço não disponível,"R$ 44,99 kg",Web Scraping,Rena
"Agua Mineral Viva 1,5l","De R$ 2,89 por","R$ 2,69 un",Web Scraping,Rena
Bebida Mista Alcoólica Gaseificada Limão Clássico Smirnoff Ice Garrafa 275ml,"De R$ 8,59 por","R$ 8,25 un",Web Scraping,Rena
Pao Rena Lua de Mel Recheado,"De R$ 49,90 por","R$ 39,90 kg",Web Scraping,Rena
Pao Rena Cebola,"De R$ 39,99 por","R$ 12,90 kg",Web Scraping,Rena
"Tempero Pó Para Aves Cebola, Coentro E Cominho Mais Sabor Kitano Pacote 60g 12 Unidades","De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Água Tônica Antarctica Lata 350ml,"De R$ 3,99 por","R$ 3,79 un",Web Scraping,Rena
Cenoura Vermelha,"De R$ 3,99 por","R$ 2,98 kg",Web Scraping,Rena
Limao,"De R$ 6,99 por","R$ 4,98 kg",Web Scraping,Rena
Tempero Pó Nordestino Kitano Mais Sabor Pacote 60g 12 Unidades,"De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Óleo Sinhá Milho Pet 900ml,"De R$ 14,99 por","R$ 12,98 un",Web Scraping,Rena
Uva Passas Argentina Escura Kg,Preço não disponível,"R$ 31,49 kg",Web Scraping,Rena
Coxa/Sobrecoxa Frango Kg Resf.Inter F.,"De R$ 14,99 por","R$ 11,99 kg",Web Scraping,Rena
Licor Fino Cream & Marula Spirit Amarula Garrafa 750ml,Preço não disponível,"R$ 119,99 un",Web Scraping,Rena
Linguica Aurora Churrasco Kg,"De R$ 19,98 por","R$ 18,90 kg",Web Scraping,Rena
Bala Fini Gelatinas Amoras 100g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Molho de Tomate Fugini Sachê 300g Tradicional,"De R$ 1,99 por","R$ 1,48 un",Web Scraping,Rena
File Peito Frango Congelado Kg,"De R$ 19,99 por","R$ 17,98 kg",Web Scraping,Rena
Cappuccino Solúvel Chocolate 3 Corações Pote 200g,"De R$ 16,99 por","R$ 15,99 un",Web Scraping,Rena
Vassoura Phenix Santa Maria,"De R$ 18,99 por","R$ 14,99 un",Web Scraping,Rena
Água Sanitária Marina 2l,Preço não disponível,"R$ 4,99 un",Web Scraping,Rena
Meio Da Asa de Frango Congelada Sadia 1kg,Preço não disponível,"R$ 24,99 un",Web Scraping,Rena
Antitranspirante Aerossol Nivea Protect & Care 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Antitranspirante Aerossol Nivea Men Invisible For Black & White 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Antitranspirante Aerossol Sem Perfume Nivea 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Vinho Brasileiro Tinto Seco Reserva Miolo Cabernet Sauvignon Campanha Garrafa 750ml,"De R$ 88,90 por","R$ 69,99 un",Web Scraping,Rena
Espumante Brasileiro Branco Demi-Sec Riche Chandon Riesling Itálico Chardonnay Pinot Noir Serra Gaúcha Garrafa 750ml,"De R$ 94,99 por","R$ 89,99 un",Web Scraping,Rena
Fondue de Queijo Tradicional São Vicente Caixa 400g,"De R$ 36,99 por","R$ 13,99 un",Web Scraping,Rena
Whisky Jim Beam 1l White Bourbon,"De R$ 114,90 por","R$ 99,99 un",Web Scraping,Rena
Alcatra Saudali Kg Suina Temperada,"De R$ 32,98 por","R$ 28,99 kg",Web Scraping,Rena
Hamburguer Hot Hit Seara Cheddar E Bacon 145g,"De R$ 6,99 por","R$ 5,99 un",Web Scraping,Rena
Cerveja Pilsen Kaiser Lata 473ml,"De R$ 3,69 por","R$ 3,48 un",Web Scraping,Rena
Castanha Caju W1 200g,Preço não disponível,"R$ 125,98 kg",Web Scraping,Rena
"Saco Para Lixo Bye, Bye 30l Com 10 Unidades","De R$ 5,49 por","R$ 3,99 un",Web Scraping,Rena
Saco Lixo Bye Bye 100lt C 5un,"De R$ 5,49 por","R$ 3,99 un",Web Scraping,Rena
Whisky Chivas Regal 12anos 1lt,Preço não disponível,"R$ 149,99 un",Web Scraping,Rena
Vinho Chileno Tinto Seco Reserva Casillero Del Diablo Pinot Noir Garrafa 750ml,"De R$ 64,99 por","R$ 49,99 un",Web Scraping,Rena
Espumante Brasileiro Rosé Brut Chandon Pinot Noir Riesling Itálico Chardonnay Serra Gaúcha Garrafa 750ml,Preço não disponível,"R$ 99,99 un",Web Scraping,Rena
Azeite de Oliva Extra Virgem Clássico Português Gallo Vidro 250ml,"De R$ 31,49 por","R$ 28,98 un",Web Scraping,Rena
Espumante Brasileiro Rosé Demi-Sec Passion Chandon Serra Gaúcha Garrafa 750ml,Preço não disponível,"R$ 99,99 un",Web Scraping,Rena
Vinho Português Tinto Seco Casal Garcia Tinta Roriz Touriga Nacional Lisboa Garrafa 750ml,"De R$ 64,99 por","R$ 58,99 un",Web Scraping,Rena
Iogurte Integral Grego Morango + Maracujá Apreciare Bandeja 540g 6 Unidades,"De R$ 12,49 por","R$ 6,99 un",Web Scraping,Rena
Creme Dental Menta Suave Oral-B 1-2-3 Caixa 70g,"De R$ 2,89 por","R$ 2,39 un",Web Scraping,Rena
Polvilho Azedo Amafil 1kg,"De R$ 11,99 por","R$ 9,99 un",Web Scraping,Rena
Vinho Argentino Tinto Seco Reserve Trivento Malbec Mendoza Garrafa 750ml,"De R$ 79,90 por","R$ 49,99 un",Web Scraping,Rena
Vinho Português Rosé Meio Seco Casal Garcia Vinho Verde Garrafa 750ml,"De R$ 64,99 por","R$ 58,99 un",Web Scraping,Rena
Espumante Perini 750ml Moscatel Ast,"De R$ 54,90 por","R$ 49,99 un",Web Scraping,Rena
Escova Dental Macia Colgate Classic Clean 3 Unidades,"De R$ 16,79 por","R$ 15,89 un",Web Scraping,Rena
Castanha Para S/Casca 200g,"De R$ 111,98 por","R$ 110,99 kg",Web Scraping,Rena
Amendoim Torrado E Salgado 250g,Preço não disponível,"R$ 50,49 kg",Web Scraping,Rena
File Peito Frango Resfriado Kg,"De R$ 24,99 por","R$ 22,99 kg",Web Scraping,Rena
Bolinho Rena Queijo/Presunto Kg,"De R$ 39,90 por","R$ 34,90 kg",Web Scraping,Rena
Bala Fini Dentaduras 100g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Pao Rena Batata,"De R$ 44,90 por","R$ 12,90 kg",Web Scraping,Rena
Pao Rena Milho Kg,"De R$ 18,90 por","R$ 12,90 kg",Web Scraping,Rena
Uva Vitoria S/Semente 450g,"De R$ 11,99 por","R$ 9,98 un",Web Scraping,Rena
Linguica Rena Frango C/Provolone Kg,"De R$ 28,99 por","R$ 27,99 kg",Web Scraping,Rena
Frango Passarinho Rena Kg Temp.,"De R$ 19,99 por","R$ 17,99 kg",Web Scraping,Rena
Adoçante Líquido Magro Frasco 200ml,"De R$ 12,49 por","R$ 11,99 un",Web Scraping,Rena
Cerveja Pilsen Itaipava Lata 473ml,"De R$ 3,49 por","R$ 3,38 un",Web Scraping,Rena
Limpador Cremoso Cif Original 450ml,"De R$ 14,61 por","R$ 13,99 un",Web Scraping,Rena
Whisky Escocês Blended Double Black Johnnie Walker Garrafa 1l,"De R$ 249,90 por","R$ 221,90 un",Web Scraping,Rena
Salame Defumado Tipo Italiano Seara Fatiado 100g,"De R$ 14,89 por","R$ 9,99 un",Web Scraping,Rena
Arroz Tipo 1 Codil 5kg,"De R$ 29,98 por","R$ 28,69 un",Web Scraping,Rena
Cotonete Johnson & Johnson 75 Unid,"De R$ 7,79 por","R$ 6,99 un",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Cabernet Sauvignon Valle Central Garrafa 750ml,"De R$ 31,35 por","R$ 26,99 un",Web Scraping,Rena
Espumante Brasileiro Branco Brut Reserve Chandon Chardonnay Pinot Noir Riesling Itálico Serra Gaúcha Garrafa 750ml,"De R$ 94,99 por","R$ 89,99 un",Web Scraping,Rena
Iogurte Trevinho Ball Morango Com Confeitos 130g,"De R$ 5,69 por","R$ 3,99 un",Web Scraping,Rena
Hot Hit Seara X-Picanha Com Ketchup 145g,"De R$ 6,99 por","R$ 5,99 un",Web Scraping,Rena
Pack Leite Fermentado Desnatado Chamyto Frasco 450g 6 Unidades,"De R$ 8,49 por","R$ 7,49 un",Web Scraping,Rena
Isotônico Powerade Frutas Vermelhas 500 Ml,"De R$ 4,59 por","R$ 4,29 un",Web Scraping,Rena
Feijao Carioca Codil Premium 1kg,"De R$ 7,79 por","R$ 7,29 un",Web Scraping,Rena
Refrigerante Guaraná Kuat Garrafa 2l,"De R$ 5,99 por","R$ 4,99 un",Web Scraping,Rena
Ketchup Hellmann'S Tradicional 380g,"De R$ 13,49 por","R$ 8,99 un",Web Scraping,Rena
Água Tônica Antarctica Zero Açúcar 350 Ml,"De R$ 3,99 por","R$ 3,79 un",Web Scraping,Rena
Espumante Perini 750ml Moscatel Aquare,"De R$ 59,90 por","R$ 49,99 un",Web Scraping,Rena
Saponáceo Cremoso Multiuso Laranja Cif Squeeze 450ml,"De R$ 14,61 por","R$ 13,99 un",Web Scraping,Rena
Espumante Perini 750ml Brut Rose,"De R$ 69,99 por","R$ 49,99 un",Web Scraping,Rena
Vinho Brasileiro Classic Cabernet Sauv Tinto 750ml Marca: Salton,"De R$ 36,99 por","R$ 29,99 un",Web Scraping,Rena
Whisky Escocês Blended Gold Label Reserve Johnnie Walker Garrafa 750ml,"De R$ 349,90 por","R$ 281,90 un",Web Scraping,Rena
Pão Bisnaguinha Tradicional Zero Lactose Pullman Bisnaguito Pacote 300g,"De R$ 9,89 por","R$ 6,99 un",Web Scraping,Rena
Vinho Chileno Tinto Seco Reserva Casillero Del Diablo Merlot Valle Central Garrafa 750ml,"De R$ 59,85 por","R$ 49,99 un",Web Scraping,Rena
Apresuntado Perdigao Kg,"De R$ 26,49 por","R$ 20,99 kg",Web Scraping,Rena
Vinho Chileno Branco Seco Reserva Casillero Del Diablo Chardonnay Garrafa 750ml,"De R$ 64,99 por","R$ 49,99 un",Web Scraping,Rena
Tempero Pó Para Legumes Kitano Pacote 60g 12 Unidades,"De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Bala Fini Gelatinas Bananas 100g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Bala Fini Minhoca Cítrica 100g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Bala Fini Minhoca Brilho 100g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Bala Fini Tubes Morango Cítrico 80g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Bala Fini Tubes Morango 80g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Whisky Escocês Blended Finest Ballantine'S Garrafa 750ml,Preço não disponível,"R$ 64,99 un",Web Scraping,Rena
Vodka Destilada Absolut Garrafa 750ml,Preço não disponível,"R$ 72,99 un",Web Scraping,Rena
Batata Inglesa,Preço não disponível,"R$ 3,98 kg",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Carménère Valle Central Garrafa 750ml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Toalha de Papel Snob Branca Pacote Com 2 Rolos,"De R$ 6,99 por","R$ 5,98 un",Web Scraping,Rena
Vinho Chileno Rosé Meio Seco Reservado Santa Carolina Cabernet Sauvignon Valle Central Garrafa 750ml,"De R$ 31,35 por","R$ 26,99 un",Web Scraping,Rena
"Wafer Oreo Cobertura Chocolate Branco Lacta Bis Pacote 100,8g","De R$ 6,49 por","R$ 5,29 un",Web Scraping,Rena
"Lava-Roupas Concentrado Ariel Expert Frasco 1,2l","De R$ 31,98 por","R$ 27,99 un",Web Scraping,Rena
Pao Rena Mandioquinha Kg,"De R$ 39,99 por","R$ 12,90 kg",Web Scraping,Rena
Aveia Em Flocos Yoki Caixa 170g,Preço não disponível,"R$ 4,99 un",Web Scraping,Rena
Aveia Em Flocos Finos Yoki Caixa 170g,Preço não disponível,"R$ 4,99 un",Web Scraping,Rena
Iogurte Polpa Trevinho Ball Bolão 130g,"De R$ 5,69 por","R$ 3,99 un",Web Scraping,Rena
Iogurte Trevinho Ball Preto Branco 130g,"De R$ 5,69 por","R$ 3,99 un",Web Scraping,Rena
Gin Tanqueray 750ml,"De R$ 129,99 por","R$ 113,90 un",Web Scraping,Rena
Cerveja Wäls X Wäls Pilsen 600ml,"De R$ 13,99 por","R$ 10,99 un",Web Scraping,Rena
Bebida Energetica Jack Power 2lt,"De R$ 8,49 por","R$ 7,49 un",Web Scraping,Rena
Vinho Ch As3 Cab 750ml,"De R$ 39,90 por","R$ 34,99 un",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Merlot Valle Central Garrafa 750ml,"De R$ 31,35 por","R$ 26,99 un",Web Scraping,Rena
"Suco Uva Tinto Aliança Garrafa 1,5l","De R$ 23,98 por","R$ 21,49 un",Web Scraping,Rena
Linguica Perdigao Kg Churrasco Mist,"De R$ 19,65 por","R$ 15,98 kg",Web Scraping,Rena
Mortadela Seara Kg Defumada Fatiada,"De R$ 23,98 por","R$ 16,99 kg",Web Scraping,Rena
Antitranspirante Aerossol Sensitive Protect Nivea Men 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Fondue de Chocolate Ao Leite São Vicente Caixa 250g,"De R$ 37,49 por","R$ 13,99 un",Web Scraping,Rena
Multi-Inseticida Aerossol Sbp Frasco 380ml Embalagem Econômica,"De R$ 22,99 por","R$ 16,99 un",Web Scraping,Rena
Espumante Brasileiro Branco Terroir Brut Santa Colina Chardonnay Riesling Pinot Noir Campanha Garrafa 750ml,"De R$ 42,99 por","R$ 34,99 un",Web Scraping,Rena
Linguica Rena Suina C/Bacon Kg,"De R$ 28,99 por","R$ 27,99 kg",Web Scraping,Rena
Cerveja Amstel 473ml,"De R$ 4,99 por","R$ 4,49 un",Web Scraping,Rena
Vinho Brasileiro Salton Classic Merlot Tinto 750ml,"De R$ 36,99 por","R$ 29,99 un",Web Scraping,Rena
Cappuccino Solúvel Classic 3 Corações Pote 200g,"De R$ 16,99 por","R$ 15,99 un",Web Scraping,Rena
Coxa/Sobrecoxa Congelado Kg,"De R$ 10,49 por","R$ 8,98 kg",Web Scraping,Rena
Antitranspirante Aerossol Nivea Pearl & Beauty 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
